parent_node_name,node_name,node_type
Test Rig 1, A - UNIT SPECIFICATION, Organization
Test Rig 1, B - GENERAL RIG SPECIFICATIONS, Organization
Test Rig 1, C - POWER SUPPLY SYSTEMS, Organization
Test Rig 1, D - DRILLSTRING EQUIPMENT, Organization
Test Rig 1, E - WELL CONTROL/SUBSEA EQUIPMENT, Organization
Test Rig 1, F - MUD SYSTEM/BULK SYSTEM, Organization
Test Rig 1, G - CASING/CEMENTING EQUIPMENT, Organization
Test Rig 1, H - INSTRUMENTATlON/COMMUNlCATlON, Organization
Test Rig 1, I - PRODUCTION TEST EQUIPMENT, Organization
Test Rig 1, J - WORKOVER TOOLS, Organization
Test Rig 1, K - ACCOMMODATION, Organization
Test Rig 1, L - SAFETY EQUIPMENT, Organization
Test Rig 1, M - POLLUTION PREVENTION EQUIPMENT, Organization
Test Rig 1, N - ADDITIONAL INFORMATION, Organization
B - GENERAL RIG SPECIFICATIONS, B.01 - DERRICK AND SUBSTRUCTURE, Organization
B - GENERAL RIG SPECIFICATIONS, B.02 - DRAWWORKS AND ASSOCIATED EQUIPMENT, Organization
B - GENERAL RIG SPECIFICATIONS, B.03 - DERRICK HOISTING EQUIPMENT, Organization
B - GENERAL RIG SPECIFICATIONS, B.04 - Rotating System, Organization
B - GENERAL RIG SPECIFICATIONS, B.05 - Offline Stand building in Derrick, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.01 - Derrick/Mast, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.02 - Racking Platform, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.03 - Pipe Handling, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.04 - Casing Stabbing Board, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.05 - Substructure, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.06 - Weather Proofing, Organization
B.01 - DERRICK AND SUBSTRUCTURE, B.01.07 - Derrick TV Camera System, Organization
B.02 - DRAWWORKS AND ASSOCIATED EQUIPMENT, B.02.01 - Drawworks, Organization
B.02 - DRAWWORKS AND ASSOCIATED EQUIPMENT, B.02.02 - Auxiliary Brake, Organization
B.02 - DRAWWORKS AND ASSOCIATED EQUIPMENT, B.02.03 - Sandline, Organization
B.02 - DRAWWORKS AND ASSOCIATED EQUIPMENT, B.02.04 - Wireline, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.01 - Crown Block, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.02 - Travel Block, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.03 - Hook, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.04 - Swivel, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.05 - Drilling Line, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.06 - Anchor Dead Line, Organization
B.03 - DERRICK HOISTING EQUIPMENT, B.03.07 - Block Guidance System, Organization
B.04 - Rotating System, B.04.01 - Rotary Table, Organization
B.04 - Rotating System, B.04.02 - Master Bushings, Organization
B.04 - Rotating System, B.04.03 - Kelly Bushing, Organization
B.04 - Rotating System, B.04.04 - Top Drive (DDM), Organization
B.05 - Offline Stand building in Derrick, B.05.00 - Offline Stand Building in Derrick, Organization
B.01.01 - Derrick/Mast, Loadmaster DJ2000 / Offset Beam Leg, Equipment
B.01.02 - Racking Platform, LoadMaster Racking Platform, Equipment
B.01.04 - Casing Stabbing Board, Loadmaster Pneumatic Adj., Equipment
B.01.05 - Substructure, Letourneau, Equipment
B.01.07 - Derrick TV Camera System, Pelco CCTV, Equipment
B.02.01 - Drawworks, Lewco LDW3000 HD, Equipment
B.02.02 - Auxiliary Brake, Baylor 15050 Elmagco, Equipment
B.03.01 - Crown Block, LoadMaster Crown Block, Equipment
B.03.02 - Travel Block, Lewco / TB1000, Equipment
B.03.03 - Hook, NOV/31108Y, Equipment
B.03.05 - Drilling Line, '1 3/4 wire rope', Equipment
B.03.06 - Anchor Dead Line, Loadmaster LMRDLA-200, Equipment
B.03.07 - Block Guidance System, Loadmaster Block dolly & side skid assembly, Equipment
B.04.01 - Rotary Table, Lewco L495, Equipment
B.04.02 - Master Bushings, Varco/MPCH, Equipment
B.04.04 - Top Drive (DDM), Lewco LTI/DDTD750-V2, Equipment
B.04.04 - Top Drive (DDM), LTI / DDTD-750, Equipment
C - POWER SUPPLY SYSTEMS, C.01 - RIG POWER PLANT, Organization
C - POWER SUPPLY SYSTEMS, C.02 - EMERGENCY GENERATOR, Organization
C - POWER SUPPLY SYSTEMS, C.03 - UPS Systems, Organization
C - POWER SUPPLY SYSTEMS, C.04 - Machinery Space Ventilation, Organization
C.01 - RIG POWER PLANT, C.01.01 - Diesel Engines, Organization
